Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,Collection_Date_code,GenBank_Title,Species_code
KF530083,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,3/17/87,1987-03-17,"Human coronavirus OC43 strain OC43/human/USA/873-19/1987, complete genome",Betacoronavirus 1
FJ415324,2008-11-18T00:00:00Z,Betacoronavirus 1,Coronaviridae,31029,complete,"Zhang,X., Herbst,W., Kousoulas,K.G., Storz,J., Zhu,H., Cai,Y., Liu,Y., Yu,D., Pu,Y., Halcom,K.",,Germany,Homo sapiens,,1988,1988-07-15,"Human enteric coronavirus 4408, complete genome",Betacoronavirus 1
KF530073,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/21/89,1989-12-21,"Human coronavirus OC43 strain OC43/human/USA/8912-37/1989, complete genome",Betacoronavirus 1
KF530066,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30564,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/16/90,1990-01-16,"Human coronavirus OC43 strain OC43/human/USA/901-33/1990, complete genome",Betacoronavirus 1
KF530065,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/17/90,1990-01-17,"Human coronavirus OC43 strain OC43/human/USA/901-41/1990, complete genome",Betacoronavirus 1
KF530061,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/19/90,1990-01-19,"Human coronavirus OC43 strain OC43/human/USA/901-43/1990, complete genome",Betacoronavirus 1
KF530088,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30578,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/23/90,1990-01-23,"Human coronavirus OC43 strain OC43/human/USA/901-54/1990, complete genome",Betacoronavirus 1
KF530076,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30606,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/3/91,1991-01-03,"Human coronavirus OC43 strain OC43/human/USA/911-11/1991, complete genome",Betacoronavirus 1
KF530096,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30589,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/15/91,1991-01-15,"Human coronavirus OC43 strain OC43/human/USA/911-38/1991, complete genome",Betacoronavirus 1
KF530091,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30606,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/24/91,1991-01-24,"Human coronavirus OC43 strain OC43/human/USA/911-58/1991, complete genome",Betacoronavirus 1
KF530089,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30611,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/29/91,1991-01-29,"Human coronavirus OC43 strain OC43/human/USA/911-66/1991, complete genome",Betacoronavirus 1
KF530095,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30602,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/5/91,1991-02-05,"Human coronavirus OC43 strain OC43/human/USA/912-6/1991, complete genome",Betacoronavirus 1
KF530067,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30608,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/7/91,1991-02-07,"Human coronavirus OC43 strain OC43/human/USA/912-10/1991, complete genome",Betacoronavirus 1
KF530082,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30581,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/7/91,1991-02-07,"Human coronavirus OC43 strain OC43/human/USA/912-11/1991, complete genome",Betacoronavirus 1
KF530094,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30581,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/22/91,1991-02-22,"Human coronavirus OC43 strain OC43/human/USA/912-36/1991, complete genome",Betacoronavirus 1
KF530079,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30581,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,3/14/91,1991-03-14,"Human coronavirus OC43 strain OC43/human/USA/913-29/1991, complete genome",Betacoronavirus 1
KF530071,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30578,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,5/4/92,1992-05-04,"Human coronavirus OC43 strain OC43/human/USA/925-1/1992, complete genome",Betacoronavirus 1
KF530097,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,11/30/92,1992-11-30,"Human coronavirus OC43 strain OC43/human/USA/9211-43/1992, complete genome",Betacoronavirus 1
KF530074,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30590,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/16/92,1992-12-16,"Human coronavirus OC43 strain OC43/human/USA/9212-33/1992, complete genome",Betacoronavirus 1
KF530090,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/26/93,1993-01-26,"Human coronavirus OC43 strain OC43/human/USA/931-85/1993, complete genome",Betacoronavirus 1
FJ425184,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30995,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Kobus ellipsiprymnus,,1/1/94,1994-01-01,"Waterbuck coronavirus US/OH-WD358-TC/1994, complete genome",Betacoronavirus 1
FJ425185,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30940,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Kobus ellipsiprymnus,,1/1/94,1994-01-01,"Waterbuck coronavirus US/OH-WD358-GnC/1994, complete genome",Betacoronavirus 1
FJ425186,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30962,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Kobus ellipsiprymnus,,1/1/94,1994-01-01,"Waterbuck coronavirus US/OH-WD358/1994, complete genome",Betacoronavirus 1
FJ425187,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,31020,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Odocoileus virginianus,,1/1/94,1994-01-01,"White-tailed deer coronavirus US/OH-WD470/1994, complete genome",Betacoronavirus 1
FJ425188,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30995,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Rusa unicolor,,1/1/94,1994-01-01,"Sambar deer coronavirus US/OH-WD388-TC/1994, complete genome",Betacoronavirus 1
FJ425189,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30997,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Rusa unicolor,,1/1/94,1994-01-01,"Sambar deer coronavirus US/OH-WD388/1994, complete genome",Betacoronavirus 1
FJ425190,2008-12-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30987,complete,"Alekseev,K.P., Vlasova,A.N., Jung,K., Hasoksuz,M., Zhang,X., Halpin,R., Wang,S., Ghedin,E., Spiro,D., Saif,L.J., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Lorenzi,H., Caler,E., Sundaram,J., Hasoksus,M., Alekseev,K., Vlasova,A., Saif,L.",18842722,USA: Ohio,Rusa unicolor,,1/1/94,1994-01-01,"Sambar deer coronavirus US/OH-WD388-TC/1994 calf-passaged, complete genome",Betacoronavirus 1
KF530059,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30511,partial,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/11/95,1995-01-11,"Human coronavirus OC43 strain OC43/human/USA/951-15/1995, partial genome",Betacoronavirus 1
KF530084,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/12/95,1995-01-12,"Human coronavirus OC43 strain OC43/human/USA/951-18/1995, complete genome",Betacoronavirus 1
KF530062,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30554,partial,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/13/95,1995-02-13,"Human coronavirus OC43 strain OC43/human/USA/952-23/1995, partial genome",Betacoronavirus 1
KF530075,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,3/9/95,1995-03-09,"Human coronavirus OC43 strain OC43/human/USA/953-23/1995, complete genome",Betacoronavirus 1
FJ938066,2009-07-11T00:00:00Z,Betacoronavirus 1,Coronaviridae,30953,complete,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Zhang,X., Alekseev,K., Hasoksuz,M., Vlasova,A., Saif,L.",,USA: Ohio,Bos taurus,,1/1/96,1996-01-01,"Bovine respiratory coronavirus bovine/US/OH-440-TC/1996, complete genome",Betacoronavirus 1
KF530098,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30578,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,5/10/96,1996-05-10,"Human coronavirus OC43 strain OC43/human/USA/965-6/1996, complete genome",Betacoronavirus 1
FJ938063,2009-07-11T00:00:00Z,Betacoronavirus 1,Coronaviridae,31024,complete,"Spiro,D., Halpin,R., Wang,S., Hostetler,J., Overton,L., Tsitrin,T., Sarmiento,M., Amedeo,P., Caler,E., Lorenzi,H., Schobel,S., Sundaram,J., Zhang,X., Hasoksuz,M., Saif,L.",,USA: Ohio,Bos taurus,,11/30/96,1996-11-30,"Bovine coronavirus E-DB2-TC, complete genome",Betacoronavirus 1
KF530064,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/4/96,1996-12-04,"Human coronavirus OC43 strain OC43/human/USA/9612-9/1996, complete genome",Betacoronavirus 1
KF530078,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30568,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/17/96,1996-12-17,"Human coronavirus OC43 strain OC43/human/USA/9612-29/1996, complete genome",Betacoronavirus 1
KF530063,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/30/96,1996-12-30,"Human coronavirus OC43 strain OC43/human/USA/9612-48/1996, complete genome",Betacoronavirus 1
KF530099,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30578,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/2/97,1997-01-02,"Human coronavirus OC43 strain OC43/human/USA/971-5/1997, complete genome",Betacoronavirus 1
KF530072,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,12/11/97,1997-12-11,"Human coronavirus OC43 strain OC43/human/USA/9712-13/1997, complete genome",Betacoronavirus 1
